circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI,DOMESTIC,1,1134,1102.0,153243.0,1295.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,DOMESTIC,1,798,790.0,248693.0,2911.33
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,DOMESTIC,1,1297,1230.0,236843.0,2426.14
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,DOMESTIC,1,315,300.0,43302.0,335.62
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BEGUMPET BASTHI,DOMESTIC,1,769,732.0,116407.0,826.17
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI,DOMESTIC,1,1128,1056.0,175968.0,1287.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI APTS,DOMESTIC,1,1209,1162.0,329832.0,4003.84
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,DOMESTIC,1,173,153.0,70018.0,572.77
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTIGADEN APTS,DOMESTIC,1,821,811.0,381566.0,4495.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,DWARAKA DASS COLONY,DOMESTIC,1,1118,1107.0,170338.0,1566.17
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",DOMESTIC,1,24,23.0,21189.0,483.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,DOMESTIC,1,20,19.0,37094.0,357.47
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,DOMESTIC,1,31,24.0,30504.0,488.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,DOMESTIC,1,1201,1177.0,438168.0,3742.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MATHAJI NAGAR,DOMESTIC,1,671,658.0,92932.0,693.39
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,DOMESTIC,1,1333,1253.0,268532.0,3185.07
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,DOMESTIC,1,481,467.0,56960.0,377.74
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P.  NAGAR WATER TANK,DOMESTIC,1,221,216.0,45075.0,411.66
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. GADDA GOVT. QRTS. ,DOMESTIC,1,509,128.0,20792.0,693.78
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,DOMESTIC,1,974,941.0,162713.0,1539.4
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,DOMESTIC,1,1074,1033.0,221769.0,2156.44
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,DOMESTIC,1,756,636.0,109583.0,699.63
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,DOMESTIC,1,1154,1103.0,171531.0,1587.33
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,R.B.I.QUARTERS,DOMESTIC,1,321,295.0,32046.0,431.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,DOMESTIC,1,520,519.0,65350.0,606.3
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,DOMESTIC,1,996,967.0,122645.0,1324.13
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS APTS,DOMESTIC,1,1532,1513.0,426238.0,5355.37
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,DOMESTIC,1,683,674.0,157674.0,1450.24
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TATA CHARY CLY,DOMESTIC,1,1599,1585.0,193540.0,1902.11
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VADDERA BASTHI. P. GADDA,DOMESTIC,1,516,471.0,61982.0,418.52
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VIKAR NAGAR,DOMESTIC,1,570,469.0,104382.0,566.23
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET (SOUTH),DOMESTIC,1,205,190.0,41287.0,420.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET COLONY (RBI),DOMESTIC,1,355,329.0,75344.0,823.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,DOMESTIC,1,147,146.0,30931.0,440.3
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMRUTHA HILLS,DOMESTIC,1,170,164.0,38626.0,814.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA APARTMENTS,DOMESTIC,1,432,421.0,135406.0,1914.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},DOMESTIC,1,578,573.0,86633.0,903.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA,DOMESTIC,1,781,767.0,107498.0,872.39
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),DOMESTIC,1,734,713.0,158461.0,1162.14
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,DURGA NAGAR,DOMESTIC,1,212,208.0,61026.0,583.34
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,DOMESTIC,1,19,18.0,16207.0,463.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,DOMESTIC,1,59,59.0,56239.0,1044.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND APARTMENTS,DOMESTIC,1,331,321.0,104532.0,1351.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,DOMESTIC,1,194,180.0,59677.0,605.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS (EAST),DOMESTIC,1,124,118.0,58157.0,519.87
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,HUSSAIN NAGAR,DOMESTIC,1,996,966.0,225192.0,1613.26
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KANTHISIKHARA APTS,DOMESTIC,1,191,183.0,44540.0,317.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,DOMESTIC,1,389,363.0,127079.0,1081.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,DOMESTIC,1,433,412.0,114381.0,1310.28
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY(APTS),DOMESTIC,1,709,611.0,231509.0,3236.78
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,DOMESTIC,1,369,261.0,62819.0,870.33
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY(APTS),DOMESTIC,1,437,398.0,161734.0,2120.68
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,POCHAMMA BASTI,DOMESTIC,1,251,219.0,32438.0,312.17
